Index	Metal center 	Complex AH	pKa	solvent	reference base	DOI	DOI2	DOI3	page number	Temperature (K)	Comments	Index	SMILES (A)	SMILES(AH)
55	Co	HCo(CO)3PPh3	15.4	acetonitrile	morpholine	https://doi.org/10.1021/ja00269a022			2261	298		55	[Co]([C][O])([C][O])([C][O])P(c1ccccc1)(c1ccccc1)c1ccccc1	[CoH]([C][O])([C][O])([C][O])P(c1ccccc1)(c1ccccc1)c1ccccc1
56	Mo	HCp*Mo(CO)3	17.1	acetonitrile	morpholine	https://doi.org/10.1021/ja00269a022			2261	298		56	[Mo]1([C@@]2(C(=C([C@]1([C]2C)C)C)C)C)([C][O])([C][O])[C][O]	[MoH]12([C@@]3(C(=C(C(=C3C)C)C)C)C)C(=O)[C@@]2(C1=O)[O]
57	Ru	H2Ru(CO)4	18.7	acetonitrile	morpholine	https://doi.org/10.1021/ja00269a022			2261	298		57	[RuH]([C][O])([C][O])([C][O])[C][O]	[RuH2]([C][O])([C][O])([C][O])[C][O]
60	Re	HRe(CO)5	21.1	acetonitrile	triethylamine	 tetramethylguanidine (averaged)	https://doi.org/10.1021/ja00269a022			2261	298		60	[Re]([C][O])([C][O])([C][O])([C][O])[C][O]	[ReH]([C][O])([C][O])([C][O])([C][O])[C][O]
62	W	HCpW(CO)2(PMe3)	26.6	acetonitrile	potassium phenolate	https://doi.org/10.1021/ja00269a022			2261	298		62	[W]([C][O])([C][O])([C@H]1[CH]C=C[CH]1)P(C)(C)C	[WH]1(C(=O)C1=O)[C@@H]1[CH]C=C[CH]1.P(C)(C)C
63	Re	H2CpRe(CO)2	23	acetonitrile	tetramethylguanidine	https://doi.org/10.1021/om00099a013			1985	298		63	[ReH]([C@H]1[CH]C=C[CH]1)([C][O])[C][O]	[ReH2]([C@@H]1C=CC=C1)([C][O])[C][O]
64	Mn	HMn(CO)4(PPh3)	20.4	acetonitrile	triethylamine	https://doi.org/10.1021/om00099a013			1985	298		64	[Mn]([C][O])([C][O])([C][O])([C][O])P(c1ccccc1)(c1ccccc1)c1ccccc1	[MnH]([C][O])([C][O])([C][O])([C][O])P(c1ccccc1)(c1ccccc1)c1ccccc1
65	Mn	HMn(CO)4(PEtPh2)	21.6	acetonitrile	pyrrolidine	https://doi.org/10.1021/om00099a013			1985	298		65	[Mn]([C][O])([C][O])([C][O])([C][O])P(c1ccccc1)(c1ccccc1)CC	[MnH]([C][O])([C][O])([C][O])([C][O])P(c1ccccc1)(c1ccccc1)CC
66	Mn	(eta3-C6H9)Mn(CO)3	22.2	acetonitrile	tetramethylguanidine	https://doi.org/10.1021/om00099a013			1985	298	ligand pKa	66	[Mn]1([C][O])([C][O])([C][O])[C@@H]2[CH]C[C@H]1C[CH]2	[Mn]([C][O])([C][O])([C][O])C1[CH]CCC[CH]1
67	Mn	H(eta6-C6H6)Mn(CO)2	26.8	acetonitrile	phenoxide	https://doi.org/10.1021/om00099a013			1985	298		67	[Mn]1([C@H]2C=C[C@@H]1C=C2)([C][O])[C][O]	[MnH]([C@@H]1C=CC=C[CH]1)([C][O])[C][O]
68	Fe	(mu-H)2Fe3(CO)9(mu3-P-4-C6H4OCH3)	9	acetonitrile	bromoaniline	 chloroaniline	 cyanoaniline	https://doi.org/10.1021/om00099a013			1985	298		68	[Fe]12([P@@](c3ccc(cc3)OC)([Fe]1([C][O])([C][O])[C][O])[FeH]2([C][O])([C][O])[C][O])([C][O])([C][O])[C][O]	[Fe]1(P(c2ccc(cc2)OC)([Fe]1([C][O])([C][O])[C][O])[FeH2]([C][O])([C][O])[C][O])([C][O])([C][O])[C][O]
69	Fe	(mu-H)2Fe3(CO)9(mu3-P-t-Bu)	11.4	acetonitrile	aniline	https://doi.org/10.1021/om00099a013			1985	298		69	[Fe]1([Fe]2([FeH]([P@@]12C(C)(C)C)([C][O])([C][O])[C][O])([C][O])([C][O])[C][O])([C][O])([C][O])[C][O]	[Fe]1([Fe](P1([FeH2]([C][O])([C][O])[C][O])C(C)(C)C)([C][O])([C][O])[C][O])([C][O])([C][O])[C][O]
70	Fe	(mu-H)2Fe3(CO)9(mu3-S-C6H11)	16.9	acetonitrile	morpholine	https://doi.org/10.1021/om00099a013			1985	298		70	[Fe]12([Fe]3([Fe]1([C][O])([C][O])([C][O])S23C1CCCCC1)([C][O])([C][O])[C][O])([C][O])([C][O])[C][O]	[Fe]12([FeH]([C][O])([C][O])([C][O])[S@@]2([Fe]1([C][O])([C][O])[C][O])C1CCCCC1)([C][O])([C][O])[C][O]
71	Ru	H4Ru4(CO)11[P(OCH3)3]	12.4	acetonitrile	aniline	https://doi.org/10.1021/om00099a013			1985	298		71	[Ru]([C][O])([C][O])[C][O].[RuH]([RuH]([C][O])([C][O])[C][O])([RuH](P(OC)(OC)OC)([C][O])[C][O])([C][O])([C][O])[C][O]	[RuH]([C][O])([C][O])[C][O].[RuH2]([C][O])([C][O])[C][O].[RuH]([C][O])([C][O])[C][O].[Ru](P(OC)(OC)OC)([C][O])[C][O]
72	Ru	H4Ru4(CO)10[P(OCH3)3]2	15.4	acetonitrile	pyridine	https://doi.org/10.1021/om00099a013			1985	298		72	[RuH2]([C][O])([C][O])[C][O].[Ru]([C][O])([C][O])(P(OC)(OC)OC)[RuH]([C][O])([C][O])([C][O])[Ru]([C][O])([C][O])P(OC)(OC)OC	[RuH2]([C][O])([C][O])[C][O].[Ru](P(OC)(OC)OC)([C][O])[C][O].[RuH2]([C][O])([C][O])[C][O].[Ru](P(OC)(OC)OC)([C][O])[C][O]
73	Ru	[(PNP)Ru(CO)(H)]+	20.7	THF	t-Butyliminotri(pyrrolidino)phosphorene ? tetrafluoroboric acid	https://doi.org/10.1021/jacs.9b06760			14322 or S13	298	ligand pKa	73	[RuH]12([C][O])P(Cc3n2c(=CP1(C(C)(C)C)C(C)(C)C)ccc3)(C(C)(C)C)C(C)(C)C	[RuH]12([C][O])P(CC3=CCC=C(N23)CP1(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C
74	Ru	(PNP)Ru(CO)(H)-(CO2)	24.6	THF	P2Et?BF4	https://doi.org/10.1021/jacs.9b06760			14322 or S14	298	ligand pKa	74	[RuH]123([C][O])P(C=c4n2c(ccc4)[C@H](P1(C(C)(C)C)C(C)(C)C)C(=O)O3)(C(C)(C)C)C(C)(C)C	[RuH]123([C][O])P(CC4=CCC=C(N24)[C@H](P1(C(C)(C)C)C(C)(C)C)C(=O)O3)(C(C)(C)C)C(C)(C)C
75	Fe	HCpFe(CO)2	27.1	acetonitrile	TBD	https://doi.org/10.1021/om2001519			3446	298		75	[Fe]([C@@H]1C=CC=C1)([C][O])[C][O]	[FeH]1([C@@H]2[CH][C@H]1C=C2)([C][O])[C][O]
76	Ru	HCpRu(CO)2	28.3	acetonitrile	TBD	https://doi.org/10.1021/om2001519			3446	298		76	[C@@H]12C=C[C@@H]([CH]1)[Ru]2([C][O])[C][O]	[C@@H]12[CH][C@@H](C=C1)[RuH]2([C][O])[C][O]
77	Os	HCpOs(CO)2	32.7	acetonitrile	Verkade's base	https://doi.org/10.1021/om2001519			3446	298		77	C1=C[C@H](C=C1)[Os]([C][O])[C][O]	[C@@H]12C=C[C@@H]([CH]1)[OsH]2([C][O])[C][O]
78	Fe	HCp*Fe(CO)2	29.7	acetonitrile	phenolate	https://doi.org/10.1021/om2001519			3446	298		78	[Fe]([C@@]1(C(=C(C(=C1C)C)C)C)C)([C][O])[C][O]	[FeH]([C@]1(C(=C(C(=C1C)C)C)C)C)([C][O])[C][O]
79	W	[(mu-H)W2(CO)6((eta5-C5H3)2(SiMe2)2)]+	-1.6	CD2Cl2	DMSO	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/om010861w		"8595 	 1238"	298		79	C1=C[C@@]2(C(=C1)[Si](C)(C)[C@@]1(C=CC=C1[Si]2(C)C)[W]([C][O])([C][O])[C][O])[W]([C][O])([C][O])[C][O]	C1=C[C@]2(C(=C1)[Si](C)(C)[C@@]1(C(=CC=C1)[Si]2(C)C)[WH]([C][O])([C][O])[C][O])[W]([C][O])([C][O])[C][O]
80	W	[HW(CO)3(PEtPh2)3]+	-0.3	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		80	[W](P(CC)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)CC)([C][O])([C][O])([C][O])P(c1ccccc1)(c1ccccc1)CC	[WH]1(P(CC)(c2ccccc2)c2ccccc2)(P(c2ccccc2)(c2ccccc2)CC)(C(=O)C1=O)[C][O].P(c1ccccc1)(c1ccccc1)CC
81	W	[HW(CO)3(PMePh2)3]+	-1.3	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		81	[W](P(C)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)C)([C][O])([C][O])([C][O])P(c1ccccc1)(c1ccccc1)C	[W].P(C)(c1ccccc1)c1ccccc1.P(c1ccccc1)(c1ccccc1)C.[C]=O.[CH]=O.[C]=O.P(c1ccccc1)(c1ccccc1)C
82	W	[HW(CO)3(triphos)]+	-0.4	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		82	[W]12(P(CCP1(CCP2(c1ccccc1)c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)([C][O])([C][O])[C][O]	[WH]1([P@](CCP1(c1ccccc1)c1ccccc1)(CCP(c1ccccc1)c1ccccc1)c1ccccc1)([C][O])([C][O])[C][O]
83	W	[HW(CO)3(tripod)]+	-3.9	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		83	[W]12(P(C[C@](CP1(c1ccccc1)c1ccccc1)(CP2(c1ccccc1)c1ccccc1)C)(c1ccccc1)c1ccccc1)([C][O])([C][O])[C][O]	[WH]12(P(CC(CP(c3ccccc3)c3ccccc3)(CP1(c1ccccc1)c1ccccc1)C)(c1ccccc1)c1ccccc1)(C(=O)C2=O)[C][O]
84	W	[HW(CO)3(bpy)(PPh2Me)]+	1	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8596 	 1954 	 937"	298		84	[W]1(N2C=CCC=C2C2=CCC=CN12)(P(c1ccccc1)(c1ccccc1)C)([C][O])([C][O])[C][O]	[WH]12(N3C=CCC=C3C3=CCC=CN13)([C][O])C(=O)C2=O.P(c1ccccc1)(c1ccccc1)C
85	W	[H2CpW(CO)2(PMe)3]+	5.6	acetonitrile	chloroanilinium	 cyanoanilinium	 carboethoxyanilinum	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja002395s		"8595 	 12238"	298		85	[WH]1([C@H]2[CH]C=C[CH]2)C(=O)C1=O.P(C)(C)C	[WH2]([C@H]1[CH]C=C[CH]1)([C][O])[C][O].P(C)(C)C
86	W	[HW(CO)3(PPhEt2)3]+	0.5	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		86	[W]([C][O])([C][O])([C][O])(P(c1ccccc1)(c1ccccc1)CC)(P(c1ccccc1)(c1ccccc1)CC)P(c1ccccc1)(c1ccccc1)CC	[WH]1(C(=O)C1=O)([C][O])(P(c1ccccc1)(c1ccccc1)CC)P(c1ccccc1)(c1ccccc1)CC.P(c1ccccc1)(c1ccccc1)CC
87	W	[HW(CO)3(PPhMe2)3]+	0	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		87	[W]([C][O])([C][O])([C][O])(P(c1ccccc1)(c1ccccc1)C)(P(c1ccccc1)(c1ccccc1)C)P(c1ccccc1)(c1ccccc1)C	[W].[C]=O.[C]=O.[CH]=O.P(c1ccccc1)(c1ccccc1)C.P(c1ccccc1)(c1ccccc1)C.P(c1ccccc1)(c1ccccc1)C
88	Cr	[HCr(CO)2(dppm)2]+	4.5	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		88	[Cr]1(P(CP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)([C][O])[C][O]	[CrH]1(P(CP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)([C][O])[C][O]
89	Mo	[HMo(CO)2(dppm)2]+	6.8	CH2Cl2	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ic00034a015	"8595 	 1954 	 53"	298		89	P1(CP(c2ccccc2)(c2ccccc2)[Mo]1([C][O])[C][O])(c1ccccc1)c1ccccc1	P1(CP(c2ccccc2)(c2ccccc2)[Mo]1([C][O])C=O)(c1ccccc1)c1ccccc1
90	W	[HW(CO)2(dppm)2]+	7.8	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		90	P1(CP(c2ccccc2)(c2ccccc2)[W]1([C][O])[C][O])(c1ccccc1)c1ccccc1	P1(CP(c2ccccc2)(c2ccccc2)[WH]1([C][O])[C][O])(c1ccccc1)c1ccccc1
91	W	[HW(CO)3(PEt3)3]+	4.2	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		91	[W]([C][O])([C][O])([C][O])(P(CC)(CC)CC)(P(CC)(CC)CC)P(CC)(CC)CC	[W].[CH]=O.[C]=O.[C]=O.P(CC)(CC)CC.P(CC)(CC)CC.P(CC)(CC)CC
92	W	[HW(CO)3(PMe3)3]+	1.1	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		92	[W]([C][O])([C][O])([C][O])(P(C)(C)C)(P(C)(C)C)P(C)(C)C	[WH]12(C([O])(C1=O)C2=O)(P(C)(C)C)P(C)(C)C.P(C)(C)C
93	W	[HW(CO)2(dppe)2]+	4.2	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8595 	 1954 	 937"	298		93	[W]1([C][O])([C][O])P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[WH]([C][O])([C][O])P(CCP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
94	Mo	[HMo(CO)2(dppe)2]+	5.5	CH2Cl2	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ic00034a015	"8595 	 1954 	 53"	298		94	[C]([O])[Mo]1([C][O])P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[C]([O])[MoH]1([C][O])P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
95	Mo	[HMo(CO)2(dppp)2]+	0.8	CH2Cl2	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ic00034a015	"8595 	 1954 	 53"	298		95	[Mo]([C][O])[C][O].P(CCCP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[MoH]([C][O])[C][O].P(CCCP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
96	Mo	[HMo(CO)2(dmpe)2]+	12	CH2Cl2	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ic00034a015	"8595 	 1954 	 53"	298		96	[Mo]1(P(CCP1(C)C)(C)C)([C][O])[C][O]	[MoH]12(P(CCP1(C)C)(C)C)C(=O)C2=O
97	Cr	[HCr(N2)((P(Ph))3(N(Bn))3)(dmpe)]+	22.5	THF	Warning DFT calculated' [H(OEt2)2][B(C6F5)4]	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/acs.inorgchem.5b00351		"8596 	 4831"	298		97	[Cr]123([N][N])([P@@]4(CN(C[P@]1(CN(C[P@]2(CN(C4)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1)P(CCP3(C)C)(C)C	[CrH]12([N][N])([P@@]3(CN(C[P@]1(CN(C[P@]2(CN(C3)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1)P(CCP(C)C)(C)C
98	Mo	HCpMo(CO)3	17	THF	OsH2(PMePh2)4	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja994428d		"8596 	 9165"	298		98	[C@@H]12C=C[C@@H]([CH]1)[Mo]2([C][O])([C][O])[C][O]	[C@@H]12C=C[C@@H]([CH]1)[MoH]132C(=O)[C@]3(C1=O)[O]
99	W	H(C5H4COO-)W(CO)3	5.8	H2O	H2O	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/om0102089	https://doi.org/10.1021/om990778x	"8596 	 3731"	298		99	[W]1([C][O])([C][O])([C][O])[C@H]2[C]([C@@H]1C=C2)C(=O)[O]	[WH]1([C][O])([C][O])C(=O)OC(=O)[C@@]21C=CC=C2
100	Cr	HCp*Cr(CO)3	17	acetonitrile	benzylamine	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja710455c		"8596 	 4252"	298		100	[C]([O])[Cr]1([C][O])([C][O])[C@@]2([C]([C@]1(C(=C2C)C)C)C)C	C1(=O)[C@@]2(C(=O)[CrH]12[C@@]1(C(=C(C(=C1C)C)C)C)C)[O]
101	Cr	HCpCr(CO)2(PCy)3	26.1	acetonitrile	tBuP1(dma)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ic302460y		"8596 	 1596"	298		101	[Cr]1([C@H]2[CH]C=C[CH]2)C(=O)C1=O.P(C1CCCCC1)(C1CCCCC1)C1CCCCC1	[CrH]1([C@H]2C=CC=C2)C(=O)C1=O.P(C1CCCCC1)(C1CCCCC1)C1CCCCC1
102	Cr	HCpCr(CO)2(IMe)	27.2	acetonitrile	[HtBuP1(pyrr)]BF4	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ic302460y		"8596 	 1596"	298		102	[Cr]1([C@@H]2[CH]C=C[CH]2)(C(=O)C1=O)[C@H]1N(C=CN1C)C	[CrH]1([C@H]2C=CC=C2)(C(=O)C1=O)[C@@H]1N(C=CN1C)C
103	W	HCpW(CO)2(IMes)	31.9	acetonitrile	Verkade's base	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja202830w		"8596 	 14605"	298		103	[Cr]1([C@H]2[CH]C=C[CH]2)(C(=O)C1=O)[C@@H]1N(C=CN1c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C	[CrH]1([C@H]2C=CC=C2)(C(=O)C1=O)[C@@H]1N(C=CN1c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C
104	W	H6W(PPhMe2)3	42	THF	Z[ReH6(PCy3)2]	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ic062037b		"8596 	 4397"	298		104	[WH5]P(c1ccccc1)(C)C.P(c1ccccc1)(C)C.P(c1ccccc1)(C)C	[WH4](P(c1ccccc1)(C)C)P(c1ccccc1)(C)C.P(c1ccccc1)(C)C.[H].[H]
105	Re	[(H2)Cp*Re(NO)(CO)]+	-2	CH2Cl2	diethylether	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://pubs.acs.org/doi/pdf/10.1021/om00109a042		"8598 	 1825"	T = 190 K		105	[ReH]1([C][O])([N][O])[C@]2([C]([C@@]1(C(=C2C)C)C)C)C	[ReH]([C][O])[N][O].C1(=C([C@H](C(=C1C)C)C)C)C.[H]
106	Re	[HCp*Re(CO)2(PMe2Ph)]+	0.5	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8598 	 1952 	 937"	298		106	[Re]([C@]1(C(=C(C(=C1C)C)C)C)C)([C][O])[C][O].P(C)(C)c1ccccc1	[ReH]1([C@@]2([C]([C@]1(C(=C2C)C)C)C)C)([C][O])[C][O].P(C)(C)c1ccccc1
107	Re	[HCp*Re(CO)2(PMe3)]+	1.5	DCE	Estimated using enthalpy of protonation (ref of enthalpy: CF3SO3H)	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja410718r 	https://doi.org/10.1021/ja9441930	"8598 	 1952 	 937"	298		107	[Re]1([C@@]2([C]([C@]1(C(=C2C)C)C)C)C)([C][O])[C][O].P(C)(C)C	[ReH]([C@]1(C(=C(C(=C1C)C)C)C)C)([C][O])[C][O].P(C)(C)C
108	Re	[(H2)Re(CO)2(MeC(CH2PPh2)3)]+	11	CH2Cl2	(CF3)3COH	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1016/S0020-1693(98)00063-2		"8599 	 304"	T < 260 K	pKa DMSO but reaction done in lower dielectric constant solvent	108	[Re]12([C][O])([C][O])P(C[C@](CP1(c1ccccc1)c1ccccc1)(CP2(c1ccccc1)c1ccccc1)C)(c1ccccc1)c1ccccc1.[H]	[Re]12([C][O])([C][O])P(C[C@](CP1(c1ccccc1)c1ccccc1)(CP2(c1ccccc1)c1ccccc1)C)(c1ccccc1)c1ccccc1.[H].[H]Here I used CH2Cl2 in xtb
109	Re	[H2Cp2Re]+	8.5	H2O/dioxane	H2O	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://pubs.rsc.org/--/content/articlepdf/1958/jr/jr9580003916		"8598 	 3918"	298	H2O used as solvent	109	[ReH]([C@H]1[CH]C=C[CH]1)[C@@H]1[CH]C=C[CH]1	[ReH2]([C@H]1C=CC=C1)[C@@H]1C=CC=C1
110	Re	H2Re2(CO)9	18	CD2Cl2	(CF3)2CHOH	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1002/chem.200500920		"8599 	 1017"	T < 240 K	pKa DMSO but reaction done in lower dielectric constant solvent	110	[Re]([Re]([C][O])(C=O)([C][O])[C][O])([C][O])([C][O])([C][O])([C][O])[C][O]	[Re]([Re]([C][O])(C=O)(C=O)[C][O])([C][O])([C][O])([C][O])([C][O])[C][O]Here I used CH2Cl2 in xtb
111	Mn	HMn(CO)5	7.1	H2O	H2O	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://pubs.acs.org/doi/pdf/10.1021/cr00065a002		"8598 	 45"	298		111	[Mn]([C][O])([C][O])([C][O])([C][O])[C][O]	[MnH]([C][O])([C][O])([C][O])([C][O])[C][O]
112	Re	[H4Re(PMePh2)4]+	15.8	THF	[OsH3(PMe2Ph)4]BPh4	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja994428d		"8598 	 9161"	298		112	[ReH3](P(C)(c1ccccc1)c1ccccc1)(P(C)(c1ccccc1)c1ccccc1)P(C)(c1ccccc1)c1ccccc1.P(C)(c1ccccc1)c1ccccc1	[ReH4](P(C)(c1ccccc1)c1ccccc1)P(C)(c1ccccc1)c1ccccc1.P(C)(c1ccccc1)c1ccccc1.P(C)(c1ccccc1)c1ccccc1
113	Re	[H4Re(PMe2Ph)4]+	20	THF	[OsH3(PEt3)4]BPh4	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja994428d		"8598 	 9161"	298		113	[ReH](P(C)(C)c1ccccc1)(P(C)(C)c1ccccc1)(P(C)(C)c1ccccc1)P(C)(C)c1ccccc1	[ReH4](P(C)(C)c1ccccc1)P(C)(C)c1ccccc1.P(C)(C)c1ccccc1.P(C)(C)c1ccccc1
114	Re	[H4Re(PMe2Ph)4]+	20	THF	CH2(CN)2	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja994428d		"8598 	 9161"	298		114	[ReH](P(C)(C)c1ccccc1)(P(C)(C)c1ccccc1)(P(C)(C)c1ccccc1)P(C)(C)c1ccccc1	[ReH4](P(C)(C)c1ccccc1)P(C)(C)c1ccccc1.P(C)(C)c1ccccc1.P(C)(C)c1ccccc1 
115	Re	[H4Re(PMe2Ph)4]+	25.5	acetonitrile	DBU	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://pubs.acs.org/doi/pdf/10.1021/ic00023a037		"8598 	 4471"	298		115	[ReH3](P(C)(C)c1ccccc1)(P(C)(C)c1ccccc1)P(C)(C)c1ccccc1.P(C)(C)c1ccccc1	[ReH4](P(C)(C)c1ccccc1)P(C)(C)c1ccccc1.P(C)(C)c1ccccc1.P(C)(C)c1ccccc1
116	Re	[H4Re(PMe3)4]+	22.9	THF	[ReH4(PMe2Ph)4]BPh4	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja994428d		"8598 	 9161"	298		116	[ReH](P(C)(C)C)(P(C)(C)C)P(C)(C)C.P(C)(C)C	[ReH4](P(C)(C)C)P(C)(C)C.P(C)(C)C.P(C)(C)C
117	Re	[H2Re(PMe3)5]+	24.2	THF	ReH3(PMe3)4	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja994428d		"8598 	 9161"	298		117	[ReH](P(C)(C)C)(P(C)(C)C)(P(C)(C)C)(P(C)(C)C)P(C)(C)C	[ReH2](P(C)(C)C)(P(C)(C)C)(P(C)(C)C)P(P(C)(C)C)(C)(C)C
118	Re	H7Re(Ph2PC6H4F)2	28	THF	ReH(PMe3)5	https://doi.org/10.1021/acs.chemrev.5b00695 	 https://doi.org/10.1021/ja994428d		"8598 	 9161"	298		118	[Re](Pc1ccccc1)(P(c1ccccc1)c1ccccc1)(c1ccccc1)(c1ccc(cc1)F)c1ccc(cc1)F.[H].[H]	[Re@@](P(c1ccccc1)c1ccccc1)([P@H](c1ccccc1)c1ccc(cc1)F)(c1ccc(cc1)F)c1ccccc1.[H].[H].[H].[H]
